2014 rank,City,State,State Code,2014 Population estimate,2015 median sales price
1,New York,New York,NY,8491079,538
2,Los Angeles,California,CA,3928864,470
3,Chicago,Illinois,IL,2722389,214
4,Houston,Texas,TX,2239558,199
5,Philadelphia,Pennsylvania,PA,1560297,219
6,Phoenix,Arizona,AZ,1537058,205
7,San Antonio,Texas,TX,1436697,178
8,San Diego,California,CA,1381069,510
9,Dallas,Texas,TX,1281047,196
10,San Jose,California,CA,1015785,900
11,Austin,Texas,TX,912791,264
12,Jacksonville,Florida,FL,853382,158
13,Indianapolis,Indiana,IN,853173,142
14,San Francisco,California,CA,852469,1150
15,Columbus,Ohio,OH,835957,152
16,Fort Worth,Texas,TX,812238,178
17,Charlotte,North Carolina,NC,809958,196
18,Seattle,Washington,WA,668342,545
19,Denver,Colorado,CO,663862,346
20,Boston,Massachusetts,MA,655884,442
21,Nashville,Tennessee,TN,644014,199
22,Baltimore,Maryland,MD,622793,163
23,Portland,Oregon,OR,619360,320
24,Las Vegas,Nevada,NV,613599,205
25,Milwaukee,Wisconsin,WI,599642,131
26,Sacramento,California,CA,485199,289
27,Kansas City,Missouri,MO,470800,148
28,Atlanta,Georgia,GA,456002,192
29,Omaha,Nebraska,NE,446599,146
30,Raleigh,North Carolina,NC,439896,222
31,Miami,Florida,FL,430332,270
32,Minneapolis,Minnesota,MN,407207,224
33,Tulsa,Oklahoma,OK,399682,131
34,Cleveland,Ohio,OH,389521,118
35,Wichita,Kansas,KS,388413,132
36,New Orleans,Louisiana,LA,384320,178
37,Tampa,Florida,FL,358699,171
38,Honolulu,Hawaii,HI,350399,700
39,Anaheim,California,CA,346997,528
40,St. Louis,Missouri,MO,317419,142
41,Pittsburgh,Pennsylvania,PA,305412,138
42,Cincinnati,Ohio,OH,298165,144
43,Orlando,Florida,FL,262372,182
44,Buffalo,New York,NY,258703,132
45,Fort Wayne,Indiana,IN,258522,116
46,Madison,Wisconsin,WI,248951,242
47,Lubbock,Texas,TX,243839,142
48,Reno,Nevada,NV,241445,262
49,Richmond,Virginia,VA,217853,214
50,Boise,Idaho,ID,214237,207
51,Spokane,Washington,WA,212052,182
52,Des Moines,Iowa,IA,209220,151
53,Little Rock,Arkansas,AR,197357,143
54,Grand Rapids,Michigan,MI,192294,139
55,Salt Lake City,Utah,UT,190884,272
56,Knoxville,Tennessee,TN,184281,158
57,Providence,Rhode Island,RI,179207,199
58,Salem,Oregon,OR,160614,196
59,Charleston,South Carolina,SC,132609,238
60,Boulder,Colorado,CO,105112,552
