2014 rank,City,State,State Code,2014 Population estimate,2015 median sales price
50,Boise,Idaho,ID,"214,237",$207
54,Grand Rapids,Michigan,MI,"192,294",$139
59,Charleston,South Carolina,SC,"132,609",$238
15,Columbus,Ohio,Ohio,"835,957",$152
11,Austin,Texas,Texas,"912,791",$264
4,Houston,Texas,Texas,"2,239,558",$199
45,Fort Wayne,Indiana,IN,"258,522",$116
45,Fort Wayne,Indiana,IN,"258,522",$116
7,San Antonio,Texas,Texas,"1,436,697",$178
55,Salt Lake City,Utah,UT,"190,884",$272
4,Houston,Texas,Texas,"2,239,558",$199
12,Jacksonville,Florida,Florida,"853,382",$158
18,Seattle,Washington,WA,"668,342",$545
3,  Chicago ,Illinois,IL,"2,722,389",$214
29,Omaha,Nebraska,NE,"446,599",$146
56,Knoxville,Tennessee,TN,"184,281",$158
1,New York,New York,NY,"8,491,079",$538
21,Nashville,Tennessee,TN,"644,014",$199
39,Anaheim,California,California,"346,997",$528
38,Honolulu,Hawaii,HI,"350,399",$700
53,Little Rock,Arkansas,AR,"197,357",$143
14,San Francisco,California,California,"852,469","$1,150"
9,Dallas,Texas,TX,"1,281,047",$196
31,Miami,Florida,FL,"430,332",$270
13,Indianapolis,Indiana,IN,N/A,$142
16,Fort Worth,Texas,TX,"812,238",$178
44,Buffalo,New York,ny,"258,703",$132
34,Cleveland,Ohio,Ohio,"389,521",
58,Salem,Oregon,OR,"160,614",$196
49,Richmond,Virginia,VA,"217,853",$214
16,Fort Worth,Texas,TX,"812,238",$178
43,Orlando,Florida,Florida,"262,372",$182
8,San Diego,California,CA,"1,381,069",$510
32,Minneapolis,Minnesota,MN,"407,207",$224
26,Sacramento,California,CA,"485,199",$289
30,Raleigh,North Carolina,NC,"439,896",$222
28,  Atlanta ,Georgia,GA,"456,002",$192
46,Madison,Wisconsin,WI,"248,951",$242
40,St. Louis,Missouri,MO,"317,419",$142
24,Las Vegas,Nevada,NV,"613,599",$205
2,Los Angeles,California,ca,"3,928,864",$470
20,Boston,Massachusetts,MA,"655,884",$442
37,Tampa,Florida,FL,"358,699",$171
42,Cincinnati,Ohio,OH,N/A,$144
10,  San Jose ,California,California,"1,015,785",$900
30,Raleigh,North Carolina,NC,"439,896",$222
57,Providence,Rhode Island,RI,"179,207",$199
19,Denver,Colorado,CO,"663,862",
35,Wichita,Kansas,KS,"388,413",$132
36,New Orleans,Louisiana,LA,"384,320",$178
6,Phoenix,Arizona,AZ,"1,537,058",
22,Baltimore,Maryland,MD,"622,793",$163
47,Lubbock,Texas,Texas,"243,839",$142
5,Philadelphia,Pennsylvania,PA,"1,560,297",$219
41,Pittsburgh,Pennsylvania,PA,"305,412",$138
33,Tulsa,Oklahoma,OK,"399,682",$131
48,Reno,Nevada,NV,"241,445",
25,Milwaukee,Wisconsin,WI,"599,642",$131
52,Des Moines,Iowa,IA,"209,220",$151
16,Fort Worth,Texas,TX,"812,238",$178
60,Boulder,Colorado,CO,"105,112",$552
23,Portland,Oregon,OR,"619,360",$320
17,Charlotte,North Carolina,NC,"809,958",$196
51,  Spokane ,Washington,Wa,"212,052",$182
27,Kansas City,Missouri,MO,"470,800",$148
